Gene	cmp0_2276	cmp0_2284	cmp0_2310	cmp0_2320	cmp0_2327	cmp0_2369	cmp0_2381	cmp0_2392	cmp0_2395	cmp0_2405	cmp0_2417	cmp0_2434	cmp0_2452	cmp0_2455	cmp0_2464	cmp0_2483	cmp0_2492	cmp0_2494	cmp0_2506	cmp0_2515	cmp0_2535	cmp0_2536	cmp0_2544	cmp0_2550	cmp0_2573	cmp0_2602	cmp0_2603	cmp0_2631	cmp0_2647	cmp0_2652	cmp0_2700	cmp0_2705	cmp0_2706	cmp0_2708	cmp0_2740	cmp0_2748	cmp0_2772	cmp0_2786	cmp0_2797	cmp0_2823	cmp0_2858	cmp0_2873	cmp0_2887	cmp0_2916	cmp0_2944	cmp0_2959	cmp0_2968	cmp0_2970	cmp0_2983	cmp0_2992	cmp0_2995	cmp0_2997	cmp0_3004	cmp0_3034	cmp0_3040	cmp0_3061	cmp0_3073	cmp0_3075	cmp0_3077	cmp0_3083	cmp0_3091	cmp0_3127	cmp0_3138	cmp0_3147	cmp0_3154	cmp0_3167	cmp0_3208	cmp0_3268	cmp0_3272	cmp0_3306	cmp0_3325	cmp0_3327	cmp0_3333	cmp0_3343	cmp0_3387	cmp0_3395	cmp0_3401	cmp0_3422	cmp0_3427	cmp0_3443	cmp0_3446	cmp0_3453	cmp0_3458	cmp0_3460	cmp0_3474	cmp0_3478	cmp0_3519	cmp0_3520	cmp0_3529	cmp0_3541	cmp0_3551	cmp0_3553	cmp0_3556	cmp0_3574	cmp0_3579	cmp0_3590	cmp0_3599	cmp0_3606	cmp0_3624	cmp0_3625	cmp0_3641	cmp0_3645	cmp0_3658	cmp0_3682	cmp0_3708	cmp0_3728	cmp0_3754	cmp0_3781	cmp0_3788	cmp0_3790	cmp0_3797	cmp0_3812	cmp0_3824	cmp0_3836	cmp0_3839	cmp0_3849	cmp0_3860	cmp0_3866	cmp0_3867	cmp0_3887	cmp0_3908	cmp0_3925	cmp0_3927	cmp0_3933	cmp0_3935	cmp0_3940	cmp0_3964	cmp0_4018	cmp0_4022	cmp0_4023	cmp0_4025	cmp0_4026	cmp0_4054	cmp0_4080	cmp0_4084	cmp0_4097	cmp0_4127	cmp0_4128	cmp0_4131	cmp0_4138	cmp0_4141	cmp0_4191	cmp0_4201	cmp0_4208	cmp0_4209	cmp0_4212	cmp0_4229	cmp0_4237	cmp0_4258	cmp0_4268	cmp0_4278	cmp0_4293	cmp0_4297	cmp0_4308	cmp0_4314	cmp0_4330	cmp0_4346	cmp0_4348	cmp0_4352	cmp0_4377	cmp0_4390	cmp0_4411	cmp0_4417	cmp0_4429	cmp0_4453	cmp0_4471	cmp0_4480	cmp0_4486	cmp0_4495	cmp0_4509	cmp0_4542	cmp0_4559	cmp0_4567	cmp0_4568	cmp0_4579	cmp0_4596	cmp0_4604	cmp0_4612	cmp0_4621	cmp0_4622	cmp0_4627	cmp0_4633	cmp0_4663	cmp0_4667	cmp0_4672	cmp0_4681	cmp0_4687	cmp0_4688	cmp0_4692	cmp0_4705	cmp0_4760	cmp0_4763	cmp1_4791	cmp1_4798	cmp1_4839	cmp1_4844	cmp1_4920	cmp1_4939	cmp1_4975	cmp1_4978	cmp1_5016	cmp1_5021	cmp1_5039	cmp1_5050	cmp1_5063	cmp1_5064	cmp1_5097	cmp1_5098	cmp1_5113	cmp1_5144	cmp1_5156	cmp1_5184	cmp1_5198	cmp1_5204	cmp1_5210	cmp1_5230	cmp1_5234	cmp1_5260	cmp1_5266	cmp1_5324	cmp2_5463	cmp2_5466	cmp2_5504	cmp2_5690	cmp2_5720	cmp2_5765	cmp2_5771	cmp2_5775	cmp2_5865	cmp2_5895	cmp2_5902	cmp2_5918	cmp2_5926	cmp2_5957	cmp2_6042	cmp2_6116	cmp2_6128	cmp2_6192	cmp2_6219	cmp2_6238	cmp2_6302	cmp2_6313	cmp2_6400	cmp2_6450	cmp2_6486	gmp_6832	gmp_7218	gmp_7222
SLC35E2B_cluster10	0	0	0	1.888878	1.867702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.77302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.648948	0	0	0	0	0	0	0	0	0	0	0	0	0	1.990379	0	0	0	0	0	2.14536	0	2.241194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.457834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.711082	0	0	0	0	0	0	0	0	0	0	0	1.98956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.583521	0	0	0	0	0	0	0	3.175311	0	0	0	1.807081	0	1.626819	0	0	0	0	2.675423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.523896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SKI_cluster10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.030507	0	0	0	0	0	0	0	0	0	0	0	1.672863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.787465	0	0	0	0	0	0	0	2.084006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.119934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.630055	1.787716	1.665563	0	0	0	0	0	0	0	0	1.89342	0	1.719791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.48623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.034404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.56174	0	0	0	0	0	0	0	0	0	0	2.027735	1.931616	0	0	0	0
PARK7_cluster10	0	0.178279	0	0.162538	0.160716	0.172536	0.251713	0.185685	0.283474	0.124667	0.338669	0.242199	0.150905	0.312492	0.170279	0.159837	0.211823	0.157513	0.269602	0.245048	0.197207	0.278799	0.302968	0.223087	0.288071	0.203788	0.356923	0.14671	0.139171	0.143155	0.211645	0.193778	0.206337	0.303855	0.28543	0.233066	0.258074	0.145757	0.168625	0.156587	0.27607	0.185951	0	0.200175	0.253272	0.14485	0.21097	0.175539	0.129395	0.222827	0.262783	0.115032	0.114198	0.204187	0.172415	0	0.184255	0.12553	0.141892	0.338176	0.201198	0.133763	0.212547	0.2624	0.267976	0.305482	0.125234	0.18111	0	0.198515	0	0.178975	0.171273	0.275823	0.119635	0.18541	0.115189	0.266744	0.184609	0.237769	0.360799	0.253879	0.129588	0.205395	0.198246	0.299784	0.222361	0.261316	0.264589	0.17071	0	0	0	0.105956	0.276178	0.22011	0.237438	0.313174	0.280182	0.112264	0.280508	0.227452	0.2235	0.190827	0.300557	0.167876	0.249235	0	0.280881	0.177435	0.223815	0.324717	0.255684	0.224577	0.237497	0.217634	0.134625	0.143279	0.232805	0.201735	0.231223	0.259977	0.208812	0	0.129834	0.263524	0.130947	0.121594	0.174646	0.316579	0.209679	0.189696	0.147539	0.262962	0.272996	0.19135	0.256751	0.158869	0.196036	0.191164	0.264893	0.230738	0.198705	0.143334	0.241387	0.195228	0.13701	0.208887	0.289056	0.132588	0.27602	0.25973	0.179231	0.189329	0.21353	0	0.249429	0.165303	0.266756	0.27044	0.190447	0.1788	0.279976	0.125623	0.161097	0.24595	0.233834	0.199377	0.334473	0	0.131959	0.13168	0.261809	0.1183	0.260708	0.189888	0.317457	0	0.25111	0.220126	0.237486	0.166075	0.331187	0.132229	0.234718	0.200099	0.141671	0.323022	0.19629	0.137191	0.100352	0.196908	0.350393	0.213835	0.269236	0	0.279335	0.287557	0.357011	0.225343	0.251911	0.344685	0.260597	0.247122	0.29682	0.278952	0.138894	0.206357	0.324443	0.271992	0.378033	0.132164	0.250897	0.262263	0.192199	0.348917	0.134992	0.244875	0.3532	0.251239	0.323512	0.16902	0.191795	0.354008	0.277295	0.132512	0.399232	0.307409	0.20499	0.205558	0.178372	0.17587	0.216087	0.190033	0.285761	0.19431	0.247311	0.198631	0.324028	0.269666	0.229404	0	0.368314	0.265221	0.306557	0.276456	0.270137	0.321663
KIF1B_cluster10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.892952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.328575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.495921	0	0	0	2.731706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NBPF1_cluster10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.904715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.885935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.206794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.608375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.449551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.035947	0
MECR_cluster10	1.837112	1.596944	0	0	0	0	0	0	0	0	0	0	0	0	0	1.431747	0	0	0	0	0	0	1.716386	0	0	0	0	1.314161	0	0	0	0	0	2.057481	1.366638	1.867292	0	0	0	0	0	0	1.528094	0	0	0	0	0	0	1.629712	0	0	0	1.829008	0	0	0	0	0	0	0	1.694494	2.198434	0	2.939888	0	0	0	0	0	0	0	0	0	0	0	1.459198	0	1.653635	0	0	0	1.641609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.415638	0	0	0	0	0	0	0	1.417632	0	0	0	0	1.591732	0	0	0	0	0	0	0	0	0	0	0	0	1.564394	0	0	0	0	0	0	0	0	0	1.756001	0	0	0	0	0	0	0	0	1.323076	0	0	1.748296	0	0	0	0	1.45504	0	0	0	0	0	0	0	0	1.443035	0	1.209301	1.458201	0	1.393686	0	0	0	0	0	2.405479	1.421816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.83062	0	0	0	0	1.427137	1.543768	0	1.807399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.2596	0	0	0	0	0	0	0	0	0	0	0	2.493949	1.679893	0	0	0	0
SFPQ_cluster10	1.034079	0	0	1.639055	0.810339	0.869934	1.554384	1.528866	0	0	0	0.945924	0	0	0.701011	0.805909	0.755206	1.375584	1.215841	0	0.811866	0.993996	1.673383	0.918409	0	0.726562	0	1.811938	0	1.020774	1.067122	0.977042	0	1.158123	0	0	0.751263	1.039322	0	0.78952	1.391959	0	0.86014	0	0.807653	0	1.06372	0	0.922656	0.91734	0.936892	0	0	1.029519	0	0.979635	0	0.895099	1.011766	0	1.014456	0	0.875019	0	1.351151	0	0.892989	0	1.347301	0.817251	0	0.9024	0	0.983386	0.853066	0	1.161581	1.098135	0.930806	0.978855	0	1.045175	0	1.035616	0.99957	0	0.915422	0.658785	1.886664	0	0.938642	0	0	0	0.880699	0.78475	0.757161	0	0	1.132087	0	0	0	0	0	0.846442	0	0.933947	0.817654	0	0	0.875143	1.15307	0	1.382722	0	0	0	0.742386	1.438485	1.648748	0	1.664689	1.190613	1.603512	0.767126	0.933722	0	1.525198	0.713845	1.726418	0.780944	0.743901	0.838552	0.794701	0	1.121116	1.132824	1.397845	1.112973	1.335608	0	0	1.022052	0	0	0	1.289922	0.971624	1.637532	0.984088	0	0	0	0.879065	0	1.12486	1.178703	1.76102	0.78726	1.357995	0.90152	0	1.551506	0.812261	0	1.179004	0	1.192485	0	1.330692	1.327874	1.52427	0.843547	0	1.354005	0.800317	0	1.033775	0.906221	1.693408	0.837358	1.180771	0	0	1.64755	0	0	1.142812	0.978249	0.715563	0	1.3355	1.244962	1.214187	0	0	1.025217	1.558907	0.927697	0.803314	0.868963	1.313944	0	1.338585	2.812984	0	1.471441	1.51451	0.969725	1.347791	0	0.800081	1.478425	0	1.015707	0	0	1.379442	0.80117	1.031639	0	1.367607	1.457388	1.398138	0	0.858326	1.633818	1.033571	1.036436	0	0.886748	0.889593	0.958157	1.440826	0	0	1.416351	1.333964	1.027813	0.944418	0	0.99264	0.945586	1.262042	0	1.218253	1.501536
INPP5B_cluster10	2.576307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.043541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.326833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.150598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.695889	0	0	0	0	2.339293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.139011	0	0	0	0	0	0	2.164934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.138429	0	0	0	0	0	0	0	0	0	0	0	2.350021	0	0	0	0	3.331651	0	0	0	0
KIAA0754_cluster10	0	0	0	0	0	0	0	2.680976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZFP69_cluster10	0	0	0	0	0	0	0	0	0	0	0	0	2.287619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.867682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.623776	0	0	0	0	0	0	0	2.271539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.842502	0	0	0	0	0	0	0	0	0	0	0	2.710483	0	0	0	0	0	0	0	0	0	0	2.291417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
