Gene	cmp0_2365	cmp0_2430	cmp0_2682	cmp0_2687	cmp0_2767	cmp0_2816	cmp0_2822	cmp0_3164	cmp0_3242	cmp0_3439	cmp0_3476	cmp0_3482	cmp0_3507	cmp0_3629	cmp0_3646	cmp0_3724	cmp0_3742	cmp0_3791	cmp0_3816	cmp0_3920	cmp0_4028	cmp0_4166	cmp0_4198	cmp0_4339	cmp0_4340	cmp0_4388	cmp0_4409	cmp0_4463	cmp0_4479	cmp0_4744	cmp0_4751	cmp1_4780	cmp1_4789	cmp1_4796	cmp1_4810	cmp1_4815	cmp1_4840	cmp1_4867	cmp1_4870	cmp1_4946	cmp1_4996	cmp1_5010	cmp1_5027	cmp1_5054	cmp1_5061	cmp1_5099	cmp1_5118	cmp1_5136	cmp1_5155	cmp1_5160	cmp1_5213	cmp1_5242	cmp1_5264	cmp1_5319	cmp1_5325	cmp1_5331	cmp1_5334	cmp1_5361	cmp2_5430	cmp2_5485	cmp2_5523	cmp2_5542	cmp2_5687	cmp2_5709	cmp2_5796	cmp2_5872	cmp2_5874	cmp2_5950	cmp2_6074	cmp2_6106	cmp2_6123	cmp2_6251	cmp2_6333	cmp2_6405	cmp2_6531	cmp2_6603	cmp2_6628	cmp2_6701	gmp_6983	gmp_7493	gmp_7710	gmp_7798	hsc_1004	hsc_1015	hsc_1123	hsc_1200	hsc_1202	hsc_1270	hsc_131	hsc_1338	hsc_1339	hsc_1367	hsc_1413	hsc_1429	hsc_1534	hsc_1535	hsc_1579	hsc_1598	hsc_1601	hsc_1610	hsc_1617	hsc_1619	hsc_1691	hsc_1702	hsc_1818	hsc_1907	hsc_1914	hsc_1985	hsc_2007	hsc_2027	hsc_2031	hsc_2066	hsc_2095	hsc_2167	hsc_2178	hsc_2203	hsc_2205	hsc_2211	hsc_2222	hsc_224	hsc_257	hsc_268	hsc_316	hsc_336	hsc_353	hsc_354	hsc_383	hsc_422	hsc_46	hsc_506	hsc_54	hsc_555	hsc_589	hsc_618	hsc_668	hsc_716	hsc_75	hsc_763	hsc_778	hsc_809	hsc_848	hsc_92	hsc_939
SLC35E2B_cluster3	0	0	0	0	0	0	0	0	1.91761	0	0	0	0	0	2.264526	0	2.396191	0	0	0	2.1712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.999202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.090911	0	0	0	0	0	2.264326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SKI_cluster3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.900666	0	0	0	0	0	1.955474	0	0	0	0	1.969343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.84924	1.791647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.842566	0	0	0	0	0	0	0	2.94525	0	0	2.050034	0	0	0	0	0	0	0	0	0	2.110519	2.006863	0	0	1.924799	0	0	0	0	0	0	2.038325	0	0	0	0	0	0	0	0	2.055198	1.710088	0	0	0	0	0	2.432151
PARK7_cluster3	0.191779	0.357659	0.213805	0	0.144636	0.172056	0.097518	0.27649	0.202096	0.251005	0	0.220176	0.196872	0.190843	0	0.137642	0.206193	0.242355	0.143932	0	0.13211	0.252918	0.196836	0.18292	0.245221	0.184535	0	0.130361	0.133439	0.181811	0.197955	0	0.359111	0	0.168557	0.197015	0.234174	0.196444	0.169429	0.32179	0.203038	0.321311	0.32589	0.264415	0.272025	0.143667	0.209233	0	0.188052	0.268694	0.22948	0.172355	0.143904	0.245163	0.134831	0.276218	0.265309	0.214774	0	0.199743	0.274068	0.244841	0.292735	0.321946	0.144764	0.303955	0	0.20294	0.218575	0.321998	0.191055	0.190518	0.305157	0.25474	0.125363	0.310072	0.331776	0.134147	0.126955	0.123001	0.265287	0.155526	0.261356	0.234064	0.172741	0.243951	0.273707	0.163391	0.170175	0.186649	0.194001	0.136781	0.24329	0.249128	0.33468	0	0.196926	0.122018	0.320521	0.144269	0.131391	0	0.142977	0.206275	0.193608	0.281481	0.283179	0	0.138844	0.184221	0.127225	0.26661	0	0.242299	0.183526	0.144893	0	0.226574	0.251956	0	0.1431	0.129385	0.348052	0.27852	0.284241	0.188443	0	0.280881	0.246393	0.198082	0.242756	0.241008	0.139096	0	0.141042	0.141095	0.166032	0.262847	0.203768	0.145655	0.264026	0.131021	0.166974
MECR_cluster3	0	0	0	0	1.832236	0	0	0	0	2.248384	0	0	0	0	0	0	1.846976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.509858	0	0	0	0	0	0	0	0	0	0	0	1.530288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.833857	2.22307	0	0	0	0	1.711382	0	0	0	0	2.484256	0	2.403244	0	0	0	1.39313	1.480645	1.482545	0	0	0	0	0	0	0	0	1.54098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.688692	1.725926	1.253084	0	0	0	0	0	0	0	0	0	0	0	2.923683	0	1.591261	0	0	1.775472	1.762685	0	1.836026	0	0	0	0	0	0	1.495771	0	0
SFPQ_cluster3	0	1.202227	1.244785	1.031441	0	0.867514	0.695359	0	1.176618	1.265579	0	0	0	0	0	0.981461	0	1.411007	0	0	1.332212	0	0	0	0.874279	0	0	0.929544	0	0	0	0	0.809751	1.724799	0	1.404827	0.964054	1.400753	1.479642	0	0	0	1.039221	1.333195	0.867454	1.448755	0.861376	1.190848	0	0.782177	1.336046	0	1.777282	1.748148	1.359654	1.392706	1.638344	1.250428	0	1.424279	1.381868	1.007968	0	1.325394	1.03225	1.76965	1.344823	1.447073	0.899834	2.053626	0.963311	0	0	1.57308	1.26418	0.988782	0.748114	1.352749	0.905261	0.877067	1.638206	0	0	0.834502	1.947545	0	0	1.426909	0.858034	0	1.383333	0	0	0	1.27561	0	0	0	0	0	0.936892	1.547727	0	1.040048	0	1.003554	0.824342	1.425349	0	1.072548	0	0	0.971497	1.410681	1.308641	0	0	0.807799	1.037261	0	0.721519	0	0	0.993001	0	0.950143	0.997824	0	0	0.998742	0.999386	0	0	1.03347	0	1.422818	0.837142	0	1.027414	0	0.841946	0	0.841891
EBNA1BP2_cluster3	0	0.977375	1.431146	0	0	0	0	0	0	0	0	1.042132	1.317805	1.1063	1.129606	0	0	0	0	1.05329	0	0	1.976348	0	1.005172	0	0	1.511383	1.547068	0	0	0	0	1.144902	0	0	1.567495	0	0	0	0	0	0	0	0.997324	0	2.214459	1.369135	0	0	0	1.412983	0	0	0	1.132232	0	1.016563	1.138666	1.637516	1.588754	0	0	1.077506	0	1.017295	0	1.176431	1.034553	0	1.918304	0	0	0	1.453448	0	0.860118	0	0	1.426058	0	0.901574	0.958209	0.959439	1.001364	0	1.121936	1.640536	0	1.081989	0	0	0	0	0	0	1.141565	0	1.072739	1.18273	1.077158	1.027366	0	0	1.122332	0	0	0	1.609736	0	0	1.545519	1.116942	1.404592	0	0	0	0	1.192552	1.532041	0	0	1.525185	1.141665	0	0	0	1.456348	0	0	0	0	0	0	0	2.003477	0	1.077423	0	0	0	1.074118	0.967934
NASP_cluster3	0.88701	0	0.807419	0	0.946064	1.378343	0	0	1.526404	0.820908	0	1.175891	1.662459	0.88268	0.901273	0.900312	0	0	0	0.840383	0.864129	1.432693	0	0	0	0	0.873622	0	0	0	0	0.878116	0	0	0	1.288674	0	0	1.567275	0	0	0	1.348162	2.118237	1.125331	0	0.790155	0.772433	0	1.898339	0.866616	1.380739	0	0	0.881927	0	0	0.81108	1.284819	1.306518	1.267612	0.924626	1.211008	1.719413	1.339119	1.147868	0.87231	0	1.429692	0.941913	1.530549	1.762351	0	0.833125	1.64	0.907027	1.372516	1.240899	0	1.609096	1.940052	2.034583	1.32419	1.082585	1.383828	0	1.265942	1.308927	1.759986	1.220864	0	0	0	0.940816	1.170141	0.933239	0	0	0.8559	1.334537	0	1.639396	0	0	0	0	1.690878	0	1.284352	1.204985	0.832175	0.871946	0.891171	0.647022	0	0	0	0.741008	1.648038	1.222362	1.323722	0.846302	0	0	1.314663	0	0	0.821637	0	0	0	1.57643	0	0	0.922553	0.922898	1.535848	1.21571	0	0	1.726986	1.916314	0.772281
SCP2_cluster3	0.25247	0.271842	0.162504	0	0.190409	0.226505	0.128379	0.257379	0.30721	0	0.182174	0.167347	0.149634	0	0.256529	0.1812	0.271444	0	0.189481	0	0	0	0.183231	0.170277	0.322823	0.242933	0.248659	0	0.24843	0	0.184272	0.306111	0	0.260003	0.27177	0.211769	0	0.258611	0	0.172944	0.267292	0.267525	0.271336	0.246139	0	0	0.15903	0.155463	0	0.144408	0	0	0.267915	0.186338	0	0	0.174634	0	0.182849	0	0.1804	0	0.172345	0.299693	0	0.163359	0.175564	0.188913	0.234943	0.189573	0.177849	0.250809	0.179658	0.335355	0.233396	0.258167	0.138119	0	0	0	0	0	0	0.217885	0.227406	0.185417	0.254788	0	0	0.245716	0	0.254654	0	0.189352	0.288436	0.187827	0	0.160632	0.172262	0.268594	0.299596	0	0.188223	0.192017	0.180226	0.185279	0.263605	0.263152	0.182783	0.140019	0.167487	0.175491	0.179361	0.225551	0.170841	0	0.256507	0.149138	0.191501	0.173961	0.188386	0.17033	0.173182	0	0.264594	0.303833	0	0.286422	0.187274	0.260768	0.319579	0.183181	0	0.330478	0	0.185746	0	0	0	0	0	0.29875	0.155432
SNX7_cluster3	0	0	0	0	0	0	0	0	0	2.75419	0	0	0	0	0	3.020591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.007258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.776017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.095212	0	0	0	0	0	0	0	0
GNAI3_cluster3	0	0	0	0	0	0	0.92484	1.854152	0	0	0	1.205566	1.077961	0	1.306756	1.305362	1.382733	0	0	0	0	0	0	1.226666	0	0	0	0	0	1.219225	0	0	0	1.873056	0	0	2.220853	1.317357	1.967948	0	1.36158	0	0	1.773178	1.153729	2.359926	0	1.119951	0	1.040312	0	1.15582	0	1.89841	0	0	0	1.663094	0	0	0	0	1.755842	0	0	1.176835	0	2.357189	0	3.053755	0	0	1.294253	1.207949	1.18892	1.315097	0	1.272215	1.204014	0	0	0	0	1.109905	0	0	0	0	0	0	1.300977	0	0	0	0	0	0	0	1.240971	0	0	0	0	0	0	0	0	0	0	1.42651	1.20657	0	1.292111	0.938117	1.230731	0	0	0	1.379572	0	0	1.227053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.113414	0	0	0	0	1.242566	0
