Edge	cluster8	cluster3	cluster2	cluster1	cluster6	cluster9	cluster10	cluster7	cluster
ABL1->AC009404.2	0	0	0	0	0	0	0	0.8	1
ABL1->RP11-245G13.2	0	0	0	0	0	0	0	0.8	1
ABL1->RP11-423O2.5	0	0	0.8	0	0	0	0	0	3
ABL1->RP11-485G4.2	0	0	0.8	0	0	0	0	0	3
ABL2->ATR	0.8	0	0	0	0	0	0	0	5
ABL2->HES4	0	0	0	0	0	0	0	0.8	1
ABL2->SPRED2	0.9	0	0	0	0	0	0	0	5
ABTB1->FAM171B	0.8	0	0	0	0	0	0	0	5
ACP2->HIPK1	0	0.8	0	0	0	0	0	0	7
ACP2->OSGEPL1	0.9	0	0	0	0	0	0	0	5
ACP5->CASP9	0	0	0	0	0	0	0	0.8	1
ACP5->RP5-1065J22.8	0	0	0	0	0	0	0	0.9	1
ACP5->TRH	0	0	0	0	0	0	0	0.8	1
ACP5->TRMT61B	0	0	0.9	0	0	0	0	0	3
ACP5->TTLL4	0	0	0	0	0	0	0	0.9	1
ACP6->R3HDM1	0	0	0.8	0	0	0	0	0	3
ACVR1->AC078883.3	0	0	0.8	0	0	0	0	0	3
ACVR1->DNAJC27-AS1	0	0	0	0	0.8	0	0	0	9
ACVR1->RP11-191L17.1	0	0	0	0	0.9	0	0	0	9
ADCK1->DNAJC6	0	0	0	0	0	0	0.8	0	2
ADCK1->FOXJ3	0	0	1	0	0	0	0	0	3
ADCK1->KIF17	0	0	0	0	0	0	0	0.8	1
ADCK1->MATN1-AS1	0	0	0	0	0.8	0	0	0	9
ADCK1->NOL9	0.8	0	0	0	0	0	0	0	5
ADCK1->SLC30A7	0	0	0.9	0	0	0	0	0	3
ADCK1->TMEM167B	0.8	0	0	0	0	0	0	0	5
ADCK4->RP11-244H3.4	0	0	0	0	0	0	0	0.8	1
ADCK5->HES4	0	0	0	0	0	0	0	0.9	1
ADCK5->LURAP1	0	0	0	0	0	0	0	0.8	1
ADCK5->PHLDB2	0.8	0	0	0	0	0	0	0	5
ADCK5->RP11-332H14.2	0.9	0	0	0	0	0	0	0	5
AEBP1->ERMAP	0	0	0	0	0	0	0	0.8	1
AEBP1->FAF1	0.9	0	0	0	0	0	0	0	5
AEBP1->LRRC8C	0	0	0	0	0	0	0	0.8	1
AEBP1->TMCC1-AS1	0	0	0.9	0	0	0	0	0	3
AEBP2->LGALSL	0.8	0	0	0	0	0	0	0	5
AEBP2->PLB1	0	0	0	0	0	0	0	0.8	1
AEBP2->RP3-455J7.4	0	0	0	0	0	0	0	0.8	1
AFF1->LINC00954	0	0	0	0	1	0	0	0	9
AFF1->NCK1	0	0	0	0	0	0.8	0	0	8
AFF3->PIK3C2B	0	0	0	0	0	0	0	0.9	1
AFF3->SLC35E2	0	0	0	0	0	0	0	0.8	1
AHCTF1->PANK4	0.8	0	0	0	0	0	0	0	5
AHCTF1->ZC3H8	0	0	0	0	0	0	0	0.8	1
AHR->CHCHD6	0	0	0	0	0	0	0.8	0	2
AHR->CSF3R	0	0	0	0	0	0	0.8	0.9	12
AHR->HEMK1	0	0	0	0	0	0	0.9	0	2
AHR->NMNAT1	0	0	0	0	0	0	0	0.9	1
AHR->RABGAP1L	0	0	0	0	0	0	0.8	0	2
AHR->SCMH1	0	0	0	0	0	0.8	0	0	8
AHR->SPTBN1	0	0	0	0	0	0	0.9	0	2
AHR->TAMM41	0	0	0	0	0	0	0	0.8	1
AHR->ZNF669	0	0	0	0	0	0	0.9	0	2
AKAP11->AHCTF1	0	0	0	0	0	0.9	0	0	8
AKAP11->CAPN10	0	0	0.8	0	0	0	0	0	3
AKAP11->CNIH3	0	0	0.8	0	0	0	0	0	3
AKAP11->GOLT1A	0	0	0	0	0	0	0	0.9	1
AKAP11->VPS45	0	0	0	0	0	0.8	0	0	8
AKT3->DLGAP3	0	0	0	0	0.8	0	0	0	9
AKT3->RP11-443B7.1	0	0	0.9	0	0	0	0	0	3
AKT3->SLC35A5	0	0	0.8	0	0	0	0	0	3
AKT3->SNED1	0	0	0	0	0	0	0	0.8	1
AKT3->SPAG16	0.8	0	0	0	0	0	0	0	5
ALPK1->HJURP	0	0	0	0	0.8	0	0	0	9
ALPK1->TFG	0	0.8	0	0	0	0	0	0	7
ALPK1->TMEM182	0	0	0.8	0	0	0	0	0	3
AMHR2->LIMS3.1	0	0	0.8	0	0	0	0	0	3
AMHR2->SLC40A1	0	0	0.8	0	0	0	0	0	3
AMHR2->TAF5L	0	0	0	0	0	0	0	0.8	1
ANGEL1->ARID5A	0	0	0	0	0	0	0	0.8	1
ANGEL1->FTCDNL1	0	0	0	0	0.8	0	0	0	9
ANGEL1->IL12RB2	0	0	0	0	0	0	0	0.9	1
ANGEL1->PCCB	0.8	0	0	0	0	0	0	0	5
ANGEL1->RASAL2	0	0	0	0	0.8	0	0	0	9
ANGEL1->RP11-440D17.3	0	0	0	0	0	0	0	1	1
ANGEL1->SLC26A6	0.8	0	0	0	0	0	0	0	5
ANGEL1->TRIM11	0.8	0	0	0	0	0	0	0	5
ANGEL2->S100A9	0	0	0	0	0	0	0	0.8	1
ANGPT2->EFNA3	0	0	0.8	0	0	0	0	0	3
ANGPT2->POLQ	0	0	0.8	0	0	0	0	0	3
ANGPT2->TTLL10	0	0	0.8	0	0	0	0	0	3
ANGPT2->XYLB	0	0	0.8	0	0	0	0	0	3
ANKLE2->B3GALNT2	0	0	0	0	0	0	0	0.9	1
ANKRA2->P4HTM	0	0	0.8	0	0	0	0	0	3
ANKRD32->UBE2T	0.8	0	0	0	0	0	0	0	5
ANKRD42->TTC30B	0	0	0	0	0	0	0	0.9	1
ANKRD44->FMO4	0	0	0	0	0	0	0	0.8	1
ANKRD44->RIT1	0	0	0	0	0	0	0	0.8	1
ANKRD44->SCN9A	0	0	0	0	0	0	0	0.8	1
ANKRD49->EEFSEC	0	0	0	0	0.8	0	0	0	9
ANKRD49->VAMP3	0	0	0	0	0	0.8	0	0	8
ANKRD52->AC108488.4	0	0	0	0	0	0	0	0.8	1
ANKRD52->PNO1	0	0	0	0	0	0	0	0.9	1
ANKRD6->ADAM17	0	0	0	0	0	0	0.8	0	2
ANKRD6->APLF	0	0	0	0	0.9	0	0	0	9
ANKRD6->ATP8B2	0	0	0	0	0.9	0	0	0	9
ANKRD6->ATXN7L2	0	0	0	0	0	0	0	0.8	1
ANKRD6->B4GALT2	0	0	0	0	0	0	0.9	0	2
ANKRD6->BOLA3-AS1	0	0	0	0	0	0	0.9	0	2
ANKRD6->C2orf81	0	0	0	0	0	0	0	0.8	1
ANKRD6->CALCRL	0	0	0.8	0	0	0	0	0	3
ANKRD6->CAPN2	0	0	0	0	0	0	0.8	0	2
ANKRD6->CTBS	0	0	0	0	0	0	0.8	0	2
ANKRD6->DCBLD2	0	0	0	0	0	0	0.9	0	2
ANKRD6->DISC1	0	0	0	0	0.9	0	0	0	9
ANKRD6->EGLN1	0	0	0	0	0	0	0	0.8	1
ANKRD6->FAM46C	0	0	0	0	0	0	0.8	0	2
ANKRD6->FBLN2	0	0	0	0	0	0	0.9	0	2
ANKRD6->FMO5	0	0	0	0	0	0	0	0.8	1
ANKRD6->FNBP1L	0	0	0	0	0	0	0.8	0	2
ANKRD6->FZD5	0	0	0	0	0	0	0	0.9	1
ANKRD6->GLB1L	0	0	0	0	0.9	0	0.9	0	2
ANKRD6->HDAC4	0	0	0	0	0.8	0	0	0	9
ANKRD6->IL1RL1	0	0	0	0	0	0	0.9	0	2
ANKRD6->ITPKB	0	0	0	0	0	0	0.9	0	2
ANKRD6->LINC00960	0	0	0	0	0.9	0	0	0	9
ANKRD6->LINC01037	0	0	0	0	0	0	0.8	0	2
ANKRD6->MGAT4A	0.8	0	0	0	0	0	0	0	5
ANKRD6->MINA	0	0	0	0	0	0	0.8	0	2
ANKRD6->MLLT11	0	0	0	0	0.8	0	0	0	9
ANKRD6->MREG	0	0	0	0	0.9	0	0	0	9
ANKRD6->NCK2	0	0	0	0	0	0	0.8	0	2
ANKRD6->PANK4	0	0	0	0	0.9	0	0	0	9
ANKRD6->PCBP4	0	0	0	0	0	0	0.9	0	2
ANKRD6->PI4KB	0	0	0	0	0.9	0	0	0	9
ANKRD6->PUS10	0	0	0	0	0.9	0	0	0	9
ANKRD6->RASA2	0	0	0	0	1	0	0	0	9
ANKRD6->RCAN3	0	0	0	0	0	0	0.9	0.8	12
ANKRD6->RHOB	0	0	0	0	0.8	0	0	0	9
ANKRD6->RQCD1	0	0	0	0	0	0	0.9	0	2
ANKRD6->SCYL3	0	0	0	0	0	0	0.9	0	2
ANKRD6->SLC26A6	0	0	0	0	0.9	0	0	0	9
ANKRD6->SLC41A3	0	0	0	0	0.8	0	0	0	9
ANKRD6->SLC4A1AP	0	0	0	0	0	0	0.8	0	2
ANKRD6->SRGAP2	0	0	0	0	0	0	0	0.8	1
ANKRD6->STAT1	0	0	0	0	0	0	0.8	0	2
ANKRD6->STPG1	0	0	0	0	0.9	0	0	0	9
ANKRD6->THAP3	0	0	0	0	0	0	0.8	0	2
ANKRD6->TP53I3	0	0	0	0	0	0	0.9	0	2
ANKRD6->TPRG1L	0	0	0	0	0	0	0.9	0	2
ANKRD6->TTLL7	0	0	0	0	0.9	0	0	0	9
