Gene	E1911_598	E848_141	E564_258	E1661_385	E481_482	E1481_37	E793_260	E322_738	E1937_524	E1932_285	E824_714	E229_563	E252_365	E1593_57	E1556_530	E295_315	E247_786	E1629_735	E1177_188	E936_332	E1559_362	E1742_207	E1138_631	E1521_653	E733_224	E1473_0	E1539_693	E1308_293	E144_406	E1604_244	E1635_683	E1992_58	E1337_68	E1280_437	E630_354	E547_592	E135_314	E561_201	E308_797	E1485_548	E638_327	E656_306	E1234_546	E497_280	E1354_157	E1101_81	E1516_162	E1677_296	E65_69	E271_56	E1361_67	E752_246	E389_466	E78_714	E1546_420	E1103_437	E44_252	E925_790	E1026_297	E901_642	E775_99	E688_213	E315_419	E1343_177	E1140_350	E1440_740	E69_569	E1198_299	E1648_582	E1884_600	E855_305	E1715_711	E1874_72	E956_795	E1304_348	E708_334	E1405_115	E1829_688	E1072_590	E1263_135	E499_203	E1728_291	E1545_162	E375_620	E428_757	E882_592	E53_38	E781_307	E43_227	E1878_796	E1494_14	E800_158	E358_446	E116_534	E1815_373	E825_621	E861_42	E1895_32	E967_438	E312_688	E1492_23	E597_118	E1930_504	E670_686	E1690_294	E1568_423	E1052_10	E701_265	E1290_221	E403_748	E1549_620	E1065_63	E1627_478	E702_169	E759_4	E1520_347	E860_734	E1446_305	E1445_510	E1342_173	E213_737	E1892_584	E731_231	E79_461	E1184_683	E157_287	E56_406	E932_328	E667_368	E1367_103	E1622_728	E512_333	E1655_206	E159_785	E1713_62	E787_226	E747_322	E1918_332	E484_43	E302_201	E1249_319	E405_779	E994_479	E1786_739	E1849_538	E190_511	E614_747	E1674_473	E1768_668	E361_15	E1089_20	E1512_109	E1650_632	E1704_269	E1632_196	E126_197	E72_761	E1912_782	E1132_422	E320_596	E1762_307	E1480_500	E1872_475	E118_392	E541_419	E1439_493	E382_63	E968_393	E1575_529	E802_444	E1396_9	E348_515	E1157_156	E1896_194	E1106_493	E435_701	E1503_247	E1436_719	E1636_391	E20_415	E1743_439	E837_761	E1426_350	E1383_796	E1020_514	E917_687	E1310_3	E426_305	E1376_487	E1148_580	E352_307	E1355_210	E440_63	E1353_381	E839_51	E32_44	E179_637	E1691_53	E697_233	E815_351
ABCE1_cmp	0	0	0.397487526864253	0	0.0094845125092685	0	0	0	0	0	0	0	0	0	0.000201435183243461	0	0	0	0	0	0	0	0	0.000103882255066418	0	0	0.0261341877158188	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000932760403108724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000294521122697765	0	0	0	0	0	0	0	0	0	0	0	0.00441238481114153	0	0.0296435955213963	0	0	0.0404927199644276	0	0	0	0.0210844067540723	0.00289826328035601	0	0.879909301271315	0.000928537443273359	0	0	0.458468947916253	0	0	0	0	0.00235466567100964	0	0	0	0	0	0	0	0	0	0	0.514228889947501	0	0	0	0	0	0	0	0	0	0	0	0.00417670831359345	0	0	0	0.00818818495059271	0.000597103470487265	0	0	0	0	0	0	0	0	0	0	1.1471589046111	0.0107373756457961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0298966671898663	0	0	0	0	0	0	0	0.00464762097420622	0	0.204437949032563	0	0	0	0	0	0	0	0.0264265506942514	0	0	0	0	0	0	0	0	0	0.0148009758195206	0	0	0	0	0	0	0	0	0	0	0
ANAPC5_cmp	0	0	0	0	0	0	0	0.0115252565471701	0	0	0	0.0193373093915591	0.0152896857044013	0	0	0	0	0	0	0	0.0102836746812499	0	0	0	0.0471611596524964	0	0	0	0	0.000667817553637626	0	0	0	0	0	0	0	0	0	0	0	0.0523568686552788	0.0511929830548129	0	0	0	0.00287354438588039	0	0	0	0.700161279675979	0	0	0	0	0	0	0.00821467546890093	0	0.0115173179023832	0	0	0	0.00106481500968629	0	0	0	0	0.00225458161554265	0	0	0	0	0	0	0	0	0.0141734840540803	0	0.00297610336345231	1.90952090289712	0.0128351129043423	0	0	0	0	0	0.0059582630564938	0	0.00550062115943892	0	0	0	0	0	0.00890595161346778	0	0	0	0	0	0	0	0	0	0.0793463135399421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0513740046155943	0	0	0.0109663555005979	0	0	0.081830354285085	0	0	0.0321898074642835	0	0.00177080512356521	0.374602714007057	0	0	1.00075590922683	0	0	0	0.0430219918233367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00229370279827794	0	0	0	0	0.686819059564729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.379149826047042	0	0	0	0	0	0	0	0
ANKRD32_cmp	0.165255023622023	0	0	0	0	0	0	0.0677308337280867	0	0	0	0	0	0	0.0423923407842372	0	0	3.78284162914237e-05	0	0	0.355332132110926	0	0	0	0	0	1.20168299275269	0.0307224229323899	0.00630207250976367	0	0.0485965325261451	0	0	0	1.25716748270796	0	0	0	0	0.0224839429612232	0	0.0397859973540946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.274029314091287	0	0	0.0475129350033859	0	0	0	0	0	0.213548370611339	0	0	0	0	0	0	0	0	0	0	0	0	0.00951675667352831	0	0.0198803643403384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.138529946746165	0	0.146967557444041	0	0	0	0	0.0180819332514004	0.386107549923065	0	0	0	0.0184064633234107	0.029421071922988	0	0	0	0	0	0.424907594586964	0	0	0	0.0124091734124588	0.00216058753900464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0170824031372007	0	0	0	0	0	0.00292226835498484	0	1.21894368343247	0	0	0	0	0	0	0	0.00201335740932935	0	0	0	0	0	0	0	0	0	0.00098889746498774	0	0	0	0	0	0	0	0	0.352484671543665	0	0	0	0	0.0866793205056819
AP3M2_cmp	0	0	0	0	0	0	0	0	0	0	2.08327952419393	0	2.34534618612089	0	0	0	0	0	0.109187258517801	0	0.177190918933513	0	0.00534251316788336	0	0	0	0	0.000630039312555444	0	0	0	0	0	0	0.39179146099456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0494670004158982	0	0	0	0.620488833185869	0	0.00183556234215614	0	0	0	0	0	0.0476741796464073	0	0	0	0	0	0	0	0	0	0	0	0	0.026431569707066	0.0137749493915669	0	0	0	0	0	0	0	0	0	0	0.00698171940523629	0	0	0	0.0279810314720828	0.0153235187198517	0	0	0	0	0	0	0	0	0	0.0153353935200218	0.0143999930428744	0	0	0	0	0	0	0	0	0	0	0	0.0154430853616528	0	0	0	0	0	0.00548195185835398	0	0	0	0.00175246448248202	0	0	0.0536544544756393	0	0	0	0	1.32035559162601	0	0.0510196943784341	0	0	0	0	0	0	0	0	0	1.94887359521182	0	0	0	0	0.507155619554082	0	0	0	0	0	0.00282550351493895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.42138616848669	0	0	0	0	0.1344959112733	0	0	0	0	0.000439138609797295	1.2131831915379	0	0.219486497493325	0	0	0	0	0	0	0
ATP5L_cmp	0	0	1.66393599086243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.90930974881337	0.937196937025059	0	0	0	2.63872120398408	0.0250218297043163	0	0	0	0	0.0018842547587586	0	0	0	0	0.00375569802056262	0	0	0	0	0	0	0	0	0	1.04884745569456	0	0.365972372319701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.38194942990112	0	0	0.0208238345029601	0	0	0	0	0	0	0	0	0.106342243674608	0.0318818100732566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0364544559172223	0	1.3539391776338	0	0	0	0	0	0	0	0	1.86919345263037	1.48397443984095	0	0	0	0	0	0	0.00782702142222099	0.23834319471573	0	0	0	0	0	0	0	0	0	0	0	0	0	0.467747172693214	0.582101042807389	0	0.0735331305614471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.47527694628931	0	0.00592148750174818	2.03771386285331	0	0	0	0	2.18552672880677	0
ATRAID_cmp	0	0.0324787925483597	0	0	0	0	0	0	0	0	0.0616107805450467	0	0	0.00983877646747059	0	0	0	0	0	0	0	0	0	0	0	0	1.62747108127901	0	0	0	0	0	0	0	0	0	0	0.00344861965193617	0.0245594771994018	0	0	0.0512454704436551	0	0	0.00376957971867118	0	0	0	0	0	0	0.00142138522102735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00230698704488946	0.222826015769304	0	0	0	0	0.0711413735050602	0	0	0	0	0	0	0	0	0	0	0.0700293874380618	0	0	0	0.775432464680066	0	0	0	0	0.0314397737954437	0	0	0	0	0	0.00104469635163375	0	0	0	0	0	0	0.0619485470284556	0	0	0	0	0	0	0.00260974723665945	0	0	0	1.91203163557793	0	0	0	0	0	0	0	0.0500727021900082	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00238324453966829	0	0.0169236491850789	0	0	0	0.00160419948213259	0.0272893485030912	0	0	0	0	0.00672255721860274	0	0	0	0	0	0	0	0	0	0.0181031388639442	0	0	0	0	0	0	0	0.0238953265781192	0	0	0.060207493923335	0	0.948489616202509	0	0	0	0	0	0	0.0952042824488364	0	0	0	0	0	0	0	0.144965665378821	1.22019091938093	0	0	0.00266853719257522	0	0	0	0	0	0.0403293912463427	0
BRI3BP_cmp	0	1.95794149379977	0.00756743717574584	0	0	0	0	0	0	1.90006593124893	0	0	0	0	0	0	0	0.335364158452978	0	1.72148400540812	0	0	0	2.25791364927936	1.63537270819214	0	0	2.60125549342783	0	0	0	0	0	0	0	0	0	0	0	0	1.59227961030814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.89187025004521	0	1.63866952826016	0	0	1.02683726780629	0	0	0	1.83200598922508	0	0	0.000275927522279071	0	0	0	0	0	0	0	0	0	0.000241759066561343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0443147176406464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.21230010761354	0	0.0739335445155018	0	0	0	0	0.25958580486532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.341054683291947	0	0	0	0	0.00365479123879353	0	0	0	0	0	1.41961053730885	0	0	0	0	0	0	1.33012347656362	0	2.00392589314699	0	0	0	0	0	0	0	0	0	0.012040672575604	0.0674380082955109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0415481143081868	0.189256790329675	1.85697880084925	0
C15orf40_cmp	0	0	0	0	0	0	0	0	0	0.0687436266290645	0	0	0	0	0	0	0	0	0	0	0	0	0.000213456020198708	0.0316060796782173	0	0	0	0	0	0	0	0	0	0.00414042026066994	0	0	0	0	0	0	0.00838441705706177	0	0	0	0	0	0	0.0253273858769895	0	0	0	0	0	0	0	0	0	0.00254671227100148	0	0	0	0	0	0	0.0145997011658576	0	0.048226434765457	0	0	0	0	0	0	0	0	0	0.0275185867539455	0	0	0	0.0889430357136584	0	0.0887020611683454	0	0	0.0113211988915071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00227455485300029	0	0	0	0	0	0	0	0	0	0	0.00617160493501954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00613132280882207	0	0	0	0	0	0.00131758005455377	0	0	0	0.0128939952508034	0	0	0.00142274599094829	0	0	0	0.0183621201177938	0	0	0	0	0	0.00109970393177328	0	0	0	0	0	0	0.0598966976821064	0	0	0	0.0245170375007434	0	0	0	0	0	0	0	0	0.0047769963152889	0.000969697067161728	0.0106835464140738	0	0	0	0	0.00322610504202153	0	0
C19orf77_cmp	0	0	0	0.369669337192668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0565125254421643	0	0	0	0.00222488446489315	0	0	0	0.00235330777530636	0	0	0	0	0.584917276577672	0	0	0	0	0	0	0	0	0.0187418249962902	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0379540748648843	0.00336498891036243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.4254838558769	0	0.0415547131821047	0.0502098129846623	0	0	0	0	0	0	0	0	0	0	0.0162894559298639	0.00674144050052609	0	1.55970141151257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000148420176402578	0	0	0	0	0.0216666097048664	0	0	0	0	0	0.0012143974445303	0	0.0122251528964192	0	0	0	0	0	0	0	0	0	0	0	0	0	1.12553280437343	0	0	0	0	0	0	0	0	0.0038641157573099	0.479554361972186	0	0	0	0.00401412001825954	0	0.0397338344723828	0	0	0	0	0	0.00853284601833947	0	0.0439885437822889	0.00338401696128961	0	0	0	0	0.00251846303993028	0	0	0	0	0	0	0	0	0.0421785257841685	0	0	0	0	0	0	0	0	0	0	0	0	0	1.45115464466784	0	0	0.832218908839223	0.000253710842624672	0	0	0.00217506475205635
C20orf24_cmp	0	0	0	0	0	0	0.263731853998824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.76410868042638	0	0	0	0.01	0	0	0.0127274073062619	0	0.0893924187996343	0	2.53078065268437	0	0	0	2.0561477128737	0	0	0	0	0	0	0	0	2.07963032208649	0	0	0	0	0	0	0	0	0	2.10446906648324	0	0	0	1.59864381758706	0	0	0	0	0	0.314911992379919	0	0	0	0	2.18802564144521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.72648482633216	0	1.89713887001795	0	0	0	0	0	0	0	0	0	0	0	0	1.99574732620657	0	0	0	0.00785150557262884	0	0	0	0	0	0	0	0	0	0	0	0	0.717672700974085	0	0.312889539652996	0	0	0	1.44170990797189	0	0	0	0	0	0	1.17104224003331	0	0	0	0	0	1.83851711470724	2.01495746781498	0	0	0	0	0	2.06253387995104	0	0	0	0	0	0	0	0.563099329116466	0	0	0	0	0	0	0	0	0	1.99897217320959	0	0.0200592142615396	0	0	0	0	0	0	0	0	0	0	1.91353442692952	0	0	0	0	0	1.07812996720871	0	0	1.79058231376805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
