Gene_OGID	NAME
OG1_1	ABCE1_hsc,ABCE1_cmp,ABCE1_gmp
OG2_1	ANAPC5_hsc,ANAPC5_cmp,ANAPC5_gmp
OG3_1	ANKRD32_hsc,ANKRD32_cmp,ANKRD32_gmp
OG4_1	AP3M2_hsc,AP3M2_cmp,AP3M2_gmp
OG5_1	ATP5L_hsc,ATP5L_cmp,ATP5L_gmp
OG6_1	ATRAID_hsc,ATRAID_cmp,ATRAID_gmp
OG7_1	BRI3BP_hsc,BRI3BP_cmp,BRI3BP_gmp
OG8_1	C15orf40_hsc,C15orf40_cmp,C15orf40_gmp
OG9_1	C19orf77_hsc,C19orf77_cmp,C19orf77_gmp
OG10_1	C20orf24_hsc,C20orf24_cmp,C20orf24_gmp
OG11_1	C6orf48_hsc,C6orf48_cmp,C6orf48_gmp
OG12_1	CAMK2G_hsc,CAMK2G_cmp,CAMK2G_gmp
OG13_1	CCDC137_hsc,CCDC137_cmp,CCDC137_gmp
OG14_1	CHAF1B_hsc,CHAF1B_cmp,CHAF1B_gmp
OG15_1	CHMP1A_hsc,CHMP1A_cmp,CHMP1A_gmp
OG16_1	CMC1_hsc,CMC1_cmp,CMC1_gmp
OG17_1	COPRS_hsc,COPRS_cmp,COPRS_gmp
OG18_1	COX7A2L_hsc,COX7A2L_cmp,COX7A2L_gmp
OG19_1	CREB1_hsc,CREB1_cmp,CREB1_gmp
OG20_1	EIF2AK4_hsc,EIF2AK4_cmp,EIF2AK4_gmp
OG21_1	EMC6_hsc,EMC6_cmp,EMC6_gmp
OG22_1	FAM219B_hsc,FAM219B_cmp,FAM219B_gmp
OG23_1	FKBP3_hsc,FKBP3_cmp,FKBP3_gmp
OG24_1	HDDC3_hsc,HDDC3_cmp,HDDC3_gmp
OG25_1	HGS_hsc,HGS_cmp,HGS_gmp
OG26_1	HM13_hsc,HM13_cmp,HM13_gmp
OG27_1	HNRNPAB_hsc,HNRNPAB_cmp,HNRNPAB_gmp
OG28_1	HP1BP3_hsc,HP1BP3_cmp,HP1BP3_gmp
OG29_1	KATNA1_hsc,KATNA1_cmp,KATNA1_gmp
OG30_1	MAP4_hsc,MAP4_cmp,MAP4_gmp
OG31_1	METTL8_hsc,METTL8_cmp,METTL8_gmp
OG32_1	MIDN_hsc,MIDN_cmp,MIDN_gmp
OG33_1	MKRN2_hsc,MKRN2_cmp,MKRN2_gmp
OG34_1	MYCBP2_hsc,MYCBP2_cmp,MYCBP2_gmp
OG35_1	NCL_hsc,NCL_cmp,NCL_gmp
OG36_1	NDN_hsc,NDN_cmp,NDN_gmp
OG37_1	NDNL2_hsc,NDNL2_cmp,NDNL2_gmp
OG38_1	OAZ1_hsc,OAZ1_cmp,OAZ1_gmp
OG39_1	OGFOD1_hsc,OGFOD1_cmp,OGFOD1_gmp
OG40_1	OGFOD3_hsc,OGFOD3_cmp,OGFOD3_gmp
OG41_1	PHB_hsc,PHB_cmp,PHB_gmp
OG42_1	PRELID1_hsc,PRELID1_cmp,PRELID1_gmp
OG43_1	PRR24_hsc,PRR24_cmp,PRR24_gmp
OG44_1	PXK_hsc,PXK_cmp,PXK_gmp
OG45_1	RABAC1_hsc,RABAC1_cmp,RABAC1_gmp
OG46_1	RARS_hsc,RARS_cmp,RARS_gmp
OG47_1	RNF135_hsc,RNF135_cmp,RNF135_gmp
OG48_1	RNF216_hsc,RNF216_cmp,RNF216_gmp
OG49_1	RNH1_hsc,RNH1_cmp,RNH1_gmp
OG50_1	RPL34_hsc,RPL34_cmp,RPL34_gmp
OG51_1	RPL7L1_hsc,RPL7L1_cmp,RPL7L1_gmp
OG52_1	RPLP1_hsc,RPLP1_cmp,RPLP1_gmp
OG53_1	RPS15A_hsc,RPS15A_cmp,RPS15A_gmp
OG54_1	SCAMP1_hsc,SCAMP1_cmp,SCAMP1_gmp
OG55_1	SEPT1_hsc,SEPT1_cmp,SEPT1_gmp
OG56_1	SERPINB1_hsc,SERPINB1_cmp,SERPINB1_gmp
OG57_1	SMC2_hsc,SMC2_cmp,SMC2_gmp
OG58_1	TLE4_hsc,TLE4_cmp,TLE4_gmp
OG59_1	TMED2_hsc,TMED2_cmp,TMED2_gmp
OG60_1	TMEM19_hsc,TMEM19_cmp,TMEM19_gmp
OG61_1	TRPC4AP_hsc,TRPC4AP_cmp,TRPC4AP_gmp
OG62_1	UBA2_hsc,UBA2_cmp,UBA2_gmp
OG63_1	UBA3_hsc,UBA3_cmp,UBA3_gmp
OG64_1	UBN1_hsc,UBN1_cmp,UBN1_gmp
OG65_1	ZNF226_hsc,ZNF226_cmp,ZNF226_gmp
